iter	Logloss
0	0.6870872797
1	0.6817199634
2	0.6775754159
3	0.6716775476
4	0.6655204857
5	0.6604480268
6	0.6558174887
7	0.6503583994
8	0.6452716441
9	0.6405585276
10	0.6360282782
11	0.6333411786
12	0.6288832987
13	0.6245781351
14	0.62205919
15	0.6193384267
16	0.6154027428
17	0.6110857694
18	0.6072151897
19	0.6042343375
20	0.6020193063
21	0.5991471243
22	0.5944352749
23	0.5914772683
24	0.5880637456
25	0.5842509169
26	0.5813121643
27	0.579411373
28	0.5775473261
29	0.5738899379
30	0.5721045455
31	0.5703536696
32	0.5665435629
33	0.5634209712
34	0.5597081148
35	0.5569172632
36	0.5541578662
37	0.550917221
38	0.5483286928
39	0.5463363354
40	0.5428262398
41	0.5402189731
42	0.5372846565
43	0.5350062162
44	0.5325245633
45	0.5297306112
46	0.5270719339
47	0.5246621022
48	0.5221242318
49	0.5195138419
50	0.5169156807
51	0.5155523672
52	0.5137474466
53	0.5111285341
54	0.5086857209
55	0.506086979
56	0.504316154
57	0.5022319596
58	0.4997856539
59	0.4976970431
60	0.4953592694
61	0.4937477932
62	0.491976846
63	0.4909943215
64	0.4891236813
65	0.4883126322
66	0.4866241151
67	0.4846641558
68	0.4831036346
69	0.4814119738
70	0.4793948625
71	0.4783711208
72	0.4770119589
73	0.4755540393
74	0.4748749736
75	0.4735390604
76	0.4716407323
77	0.4710134759
78	0.4703981956
79	0.4696154847
80	0.4681176957
81	0.4668226137
82	0.4650944163
83	0.4645402108
84	0.4631792065
85	0.4619196891
86	0.4611012217
87	0.4605576977
88	0.4589884147
89	0.4575809858
90	0.4563340621
91	0.4551123169
92	0.4536218409
93	0.4520682148
94	0.450764995
95	0.4495060886
96	0.4481652153
97	0.4470677962
98	0.446439086
99	0.4455914152
100	0.4451972956
101	0.4443751394
102	0.4431038742
103	0.4419375175
104	0.4415844915
105	0.440553196
106	0.4394626501
107	0.4391311629
108	0.438167887
109	0.4373670498
110	0.4363098466
111	0.4356621393
112	0.4351235246
113	0.4345047979
114	0.4337554655
115	0.4326661604
116	0.4319489747
117	0.4313778555
118	0.4310671827
119	0.4299586805
120	0.4293328286
121	0.4289873055
122	0.4287446496
123	0.4282069883
124	0.42719731
125	0.4268533852
126	0.4264959388
127	0.426157948
128	0.4252381524
129	0.424840424
130	0.4239680744
131	0.4234266928
132	0.4223536724
133	0.4214686818
134	0.420721671
135	0.4205962038
136	0.4203592561
137	0.4200526114
138	0.4194326828
139	0.4193791174
140	0.419169981
141	0.4189593145
142	0.4188512475
143	0.4187404279
144	0.4178452306
145	0.4177975169
